Time_ms,add1,load1,nop1,udiv1
20663,3681.56832,3700.84,3703.992099999707,3517.290219999888
20664,3681.74513,3701.01468,3704.169879999707,3517.460639999888
20665,3681.92513,3701.19681,3704.350859999707,3517.632159999888
20666,3682.10074,3701.37894,3704.531879999707,3517.800449999888
20667,3682.28185,3701.5557,3704.710819999707,3517.9688199998877
20668,3682.45763,3701.73779,3704.8896699997063,3518.1371899998876
20669,3682.63337,3701.91464,3705.0685199997065,3518.3053899998877
20670,3682.81439,3702.09149,3705.2484799997055,3518.4736299998876
20671,3682.98911,3702.27038,3705.4306099997066,3518.6419599998876
20672,3683.16809,3702.44825,3705.6073699997055,3518.8113099998877
20673,3683.34698,3702.62608,3705.7851099997065,3518.9816799998875
20674,3683.52587,3702.80497,3705.9649799997055,3519.1500499998874
20675,3683.70268,3702.98404,3706.1449399997055,3519.3193599998876
20676,3683.88162,3703.164,3706.3261399997054,3519.488669999888
20677,3684.05945,3703.34613,3706.5040599997055,3519.656909999888
20678,3684.23728,3703.52724,3706.6851699997055,3519.825149999888
20679,3684.41404,3703.70396,3706.8672999997066,3519.994459999888
20680,3684.5908,3703.88401,3707.048369999706,3520.165899999888
20681,3684.76863,3704.06614,3707.227259999707,3520.337339999888
20682,3684.94761,3704.24503,3707.406239999707,3520.508949999888
20683,3685.12761,3704.42712,3707.586289999707,3520.679449999888
20684,3685.30766,3704.60712,3707.7661999997063,3520.8520399998883
20685,3685.48975,3704.78712,3707.947179999707,3521.022499999888
20686,3685.66869,3704.97032,3708.1270499997063,3521.192869999888
20687,3685.84763,3705.15134,3708.3091399997065,3521.362179999888
20688,3686.0255,3705.33139,3708.4891899997065,3521.5315299998883
20689,3686.20124,3705.5102,3708.6692399997055,3521.6997699998883
20690,3686.38124,3705.68905,3708.8534599997065,3521.870139999888
20691,3686.55702,3705.86586,3709.0344399997066,3522.040559999888
20692,3686.73494,3706.0448,3709.2186099997066,3522.210929999888
20693,3686.91494,3706.22374,3709.4028699997066,3522.379169999888
20694,3687.09494,3706.40268,3709.5828699997055,3522.550609999888
20695,3687.27379,3706.58046,3709.7617599997066,3522.722049999888
20696,3687.4537,3706.75722,3709.9395399997065,3522.892419999888
20697,3687.63361,3706.93181,3710.118429999706,3523.0627899998876
20698,3687.81148,3707.11075,3710.297319999707,3523.2289099998875
20699,3687.98718,3707.2896,3710.4762599997066,3523.3982199998877
20700,3688.16501,3707.46743,3710.6551999997055,3523.5676099998877
20701,3688.34386,3707.64845,3710.835199999706,3523.7348299998876
20702,3688.52288,3707.82841,3711.015199999706,3523.9063499998874
20703,3688.7008,3708.00837,3711.190979999706,3524.0745899998874
20704,3688.87548,3708.18509,3711.369869999706,3524.2460299998875
20705,3689.05335,3708.36403,3711.546629999706,3524.4163999998873
20706,3689.23127,3708.5419,3711.729779999706,3524.586859999887
20707,3689.41016,3708.72088,3711.9098699997057,3524.756339999887
20708,3689.5891,3708.90097,3712.0877399997057,3524.926709999887
20709,3689.77017,3709.07982,3712.2676999997057,3525.096099999887
20710,3689.94902,3709.25867,3712.4487199997056,3525.269669999887
20711,3690.12689,3709.43752,3712.6297399997056,3525.439019999887
20712,3690.30374,3709.61637,3712.8107599997056,3525.612629999887
20713,3690.48059,3709.791,3712.9886299997056,3525.780959999887
20714,3690.65851,3709.96994,3713.1685899997055,3525.9514199998866
20715,3690.83634,3710.1467,3713.3476099997056,3526.1218399998866
20716,3691.01532,3710.32985,3713.5264999997057,3526.2922099998864
20717,3691.19324,3710.50874,3713.7043699997057,3526.4604499998864
20718,3691.37005,3710.68976,3713.8844199997056,3526.6308699998863
20719,3691.54903,3710.87087,3714.063399999706,3526.8001799998865
20720,3691.72797,3711.04985,3714.2421599997056,3526.9728099998865
20721,3691.90358,3711.22883,3714.421009999705,3527.1432699998863
20722,3692.07928,3711.40346,3714.5998999997055,3527.3115999998863
20723,3692.2603,3711.58235,3714.7809699997056,3527.483119999886
20724,3692.44141,3711.76005,3714.9588899997057,3527.654599999886
20725,3692.62461,3711.93996,3715.1356499997055,3527.8207599998864
20726,3692.80466,3712.12205,3715.314589999705,3527.9901499998864
20727,3692.98142,3712.30312,3715.492419999706,3528.1583899998864
20728,3693.15925,3712.47988,3715.6713099997055,3528.3278199998863
20729,3693.33397,3712.65771,3715.8502899997056,3528.5003199998864
20730,3693.51393,3712.83549,3716.0313999997056,3528.6718899998864
20731,3693.69185,3713.01438,3716.2091799997056,3528.8380499998866
20732,3693.87083,3713.19225,3716.3891399997055,3529.0095299998866
20733,3694.04981,3713.37225,3716.5659499997055,3529.1810099998866
20734,3694.22559,3713.5511,3716.744799999705,3529.3514699998864
20735,3694.40244,3713.73212,3716.923739999705,3529.5186499998863
20736,3694.58027,3713.91106,3717.102679999705,3529.689019999886
20737,3694.75499,3714.08893,3717.278419999705,3529.8583299998863
20738,3694.93499,3714.26893,3717.454079999705,3530.0266199998864
20739,3695.11291,3714.4488,3717.633059999705,3530.1991199998865
20740,3695.28967,3714.62769,3717.809819999705,3530.3663799998867
20741,3695.46643,3714.80441,3717.988799999705,3530.5357699998867
20742,3695.64319,3714.98113,3718.165559999705,3530.7051999998866
20743,3695.82315,3715.15781,3718.3465799997048,3530.8745899998867
20744,3696.00213,3715.33564,3718.5243599997048,3531.040749999887
20745,3696.17783,3715.51245,3718.706399999705,3531.211249999887
20746,3696.35681,3715.68921,3718.884179999705,3531.382769999887
20747,3696.53264,3715.8681,3719.062049999705,3531.553099999887
20748,3696.71056,3716.04704,3719.244179999705,3531.7234699998867
20749,3696.88732,3716.22709,3719.424089999705,3531.892819999887
20750,3697.06302,3716.40718,3719.604049999705,3532.0642999998868
20751,3697.2388,3716.58284,3719.7819199997048,3532.235739999887
20752,3697.41991,3716.76289,3719.962989999705,3532.4051699998868
20753,3697.5945,3716.93974,3720.145029999705,3532.5734099998867
20754,3697.77233,3717.12285,3720.324049999705,3532.7416499998867
20755,3697.95016,3717.30183,3720.502009999705,3532.910959999887
20756,3698.12905,3717.48401,3720.679879999705,3533.082439999887
20757,3698.30688,3717.66619,3720.858899999705,3533.254939999887
20758,3698.48786,3717.84504,3721.036729999705,3533.424369999887
20759,3698.66671,3718.02291,3721.216689999705,3533.596999999887
20760,3698.8456,3718.19541,3721.394559999705,3533.769589999887
20761,3699.02662,3718.3743,3721.578779999705,3533.936889999887
20762,3699.20556,3718.5543,3721.757669999705,3534.107349999887
20763,3699.38663,3718.73106,3721.936609999705,3534.277769999887
20764,3699.56233,3718.90782,3722.115499999705,3534.447119999887
20765,3699.73696,3719.08458,3722.294389999705,3534.616469999887
20766,3699.91705,3719.26139,3722.475409999705,3534.788039999887
20767,3700.09705,3719.43611,3722.656429999705,3534.959479999887
20768,3700.27386,3719.61718,3722.837449999705,3535.1287899998874
20769,3700.45062,3719.79607,3723.0196699997055,3535.2980999998877
20770,3700.62849,3719.97505,3723.2006899997054,3535.464259999888
20771,3700.80747,3720.15181,3723.3786099997055,3535.634679999888
20772,3700.98441,3720.33083,3723.5565299997056,3535.804029999888
20773,3701.16543,3720.50653,3723.7365799997056,3535.974449999888
20774,3701.34117,3720.68755,3723.9166299997055,3536.142689999888
20775,3701.52215,3720.86857,3724.0965899997054,3536.311099999888
20776,3701.70113,3721.04649,3724.2734799997056,3536.484709999888
20777,3701.87798,3721.22538,3724.4513099997057,3536.6572599998876
20778,3702.05479,3721.40219,3724.6313099997055,3536.8295899998875
20779,3702.23155,3721.58437,3724.811219999706,3536.9989799998875
20780,3702.40831,3721.7622,3724.991269999705,3537.1725899998874
20781,3702.58618,3721.93883,3725.171319999705,3537.3419799998874
20782,3702.76614,3722.1167,3725.350259999705,3537.5134599998873
20783,3702.94401,3722.29457,3725.528129999705,3537.6828099998875
20784,3703.12295,3722.47133,3725.706049999705,3537.8543799998874
20785,3703.3018,3722.64809,3725.888139999705,3538.0247499998873
20786,3703.47852,3722.82703,3726.065029999705,3538.1940599998875
20787,3703.65537,3723.00605,3726.244989999705,3538.3633699998877
20788,3703.83426,3723.18712,3726.423879999705,3538.531659999888
20789,3704.01111,3723.36499,3726.603929999705,3538.7042099998876
20790,3704.18579,3723.54495,3726.786059999705,3538.8755699998874
20791,3704.36371,3723.72491,3726.967079999705,3539.049269999887
20792,3704.54367,3723.9038,3727.149169999705,3539.2197699998874
20793,3704.72052,3724.08274,3727.331299999705,3539.3912099998875
20794,3704.89835,3724.26066,3727.505929999705,3539.5637999998876
20795,3705.07511,3724.43964,3727.683669999705,3539.7363899998877
20796,3705.25183,3724.61853,3727.863579999705,3539.908979999888
20797,3705.43081,3724.79636,3728.042389999705,3540.0794399998877
20798,3705.61077,3724.97428,3728.2212399997047,3540.2498999998875
20799,3705.79077,3725.1553,3728.4002599997048,3540.4203599998873
20800,3705.96962,3725.33219,3728.5771099997046,3540.595209999887
20801,3706.14851,3725.51015,3728.7560899997047,3540.766779999887
20802,3706.32532,3725.68807,3728.934979999705,3540.938219999887
20803,3706.50528,3725.86164,3729.1139199997046,3541.106549999887
20804,3706.68098,3726.04169,3729.2948999997047,3541.277009999887
20805,3706.85668,3726.22058,3729.475969999705,3541.447429999887
20806,3707.03673,3726.40373,3729.6528199997047,3541.615759999887
20807,3707.2146,3726.58267,3729.8337999997048,3541.7829799998867
20808,3707.39141,3726.76263,3730.0106099997047,3541.951269999887
20809,3707.57039,3726.94268,3730.189549999705,3542.1217299998866
20810,3707.74724,3727.12166,3730.369549999704,3542.2910799998867
20811,3707.92613,3727.30055,3730.549509999704,3542.462519999887
20812,3708.10715,3727.47949,3730.728529999704,3542.631829999887
20813,3708.28391,3727.66371,3730.907339999704,3542.801179999887
20814,3708.46067,3727.84158,3731.085169999704,3542.9705299998873
20815,3708.64169,3728.01834,3731.260869999704,3543.1398799998874
20816,3708.81845,3728.1951,3731.441889999704,3543.3102099998873
20817,3708.99845,3728.37404,3731.621849999704,3543.4785399998873
20818,3709.1773,3728.55191,3731.799679999704,3543.6467799998873
20819,3709.35522,3728.73298,3731.976439999704,3543.8150699998873
20820,3709.53198,3728.91405,3732.153199999704,3543.9844199998875
20821,3709.71314,3729.0909,3732.332219999704,3544.1559899998874
20822,3709.89323,3729.26984,3732.513149999704,3544.3242299998874
20823,3710.07319,3729.4498,3732.694219999704,3544.4967299998875
20824,3710.25115,3729.6255,3732.875289999704,3544.6693199998876
20825,3710.42902,3729.80342,3733.054099999704,3544.838629999888
20826,3710.60804,3729.98236,3733.232949999704,3545.006959999888
20827,3710.786,3730.15925,3733.412949999704,3545.1772899998878
20828,3710.96281,3730.33827,3733.591889999703,3545.349789999888
20829,3711.13957,3730.51712,3733.770699999703,3545.520209999888
20830,3711.31633,3730.69614,3733.950659999703,3545.6917299998877
20831,3711.49211,3730.87512,3734.128529999703,3545.8631699998878
20832,3711.66789,3731.05406,3734.307469999703,3546.0388699998875
20833,3711.84794,3731.23189,3734.486409999703,3546.2145699998873
20834,3712.02683,3731.40972,3734.668539999703,3546.3839199998874
20835,3712.20905,3731.5875,3734.847429999703,3546.5521599998874
20836,3712.38697,3731.76537,3735.028449999703,3546.724709999887
20837,3712.56484,3731.94213,3735.206279999703,3546.8972999998873
20838,3712.7416,3732.11889,3735.384059999703,3547.0687799998873
20839,3712.92156,3732.29787,3735.565079999703,3547.241449999887
20840,3713.09841,3732.47255,3735.744989999703,3547.4108399998872
20841,3713.27952,3732.65157,3735.927119999703,3547.5834299998874
20842,3713.46054,3732.82731,3736.103879999703,3547.7560199998875
20843,3713.64054,3733.00616,3736.281659999703,3547.9231999998874
20844,3713.81846,3733.18825,3736.459529999703,3548.093569999887
20845,3713.99527,3733.36608,3736.637359999703,3548.2629199998873
20846,3714.16995,3733.54604,3736.817319999703,3548.4312499998873
20847,3714.3488,3733.7228,3736.997229999703,3548.6037499998874
20848,3714.52885,3733.89956,3737.175059999703,3548.7730599998877
20849,3714.70468,3734.07952,3737.353949999703,3548.9435199998875
20850,3714.88477,3734.25837,3737.536079999703,3549.1171699998877
20851,3715.06473,3734.43615,3737.712929999703,3549.2907799998875
20852,3715.24265,3734.61717,3737.892889999703,3549.4633699998876
20853,3715.42057,3734.795,3738.0696499997034,3549.6327599998876
20854,3715.59738,3734.97616,3738.2464099997023,3549.8021099998878
20855,3715.77743,3735.15825,3738.4263699997023,3549.9725299998877
20856,3715.95206,3735.33714,3738.606369999702,3550.1471599998877
20857,3716.12895,3735.51603,3738.7853499997022,3550.316509999888
20858,3716.30793,3735.69275,3738.9632699997023,3550.4847499998878
20859,3716.48691,3735.86849,3739.143179999702,3550.6551199998876
20860,3716.6658,3736.04845,3739.323179999702,3550.8255399998875
20861,3716.84465,3736.22406,3739.505309999702,3550.9916599998874
20862,3717.02128,3736.40504,3739.682159999702,3551.1609699998876
20863,3717.19702,3736.58389,3739.862249999702,3551.3334699998877
20864,3717.37485,3736.76278,3740.041229999702,3551.500569999888
20865,3717.55481,3736.9438,3740.220209999702,3551.666809999888
20866,3717.73362,3737.12482,3740.399149999702,3551.8383299998877
20867,3717.91043,3737.3006,3740.578039999702,3552.0077199998877
20868,3718.08617,3737.48162,3740.757019999702,3552.1781799998876
20869,3718.26183,3737.6594,3740.937019999702,3552.3486799998877
20870,3718.44174,3737.83612,3741.116979999702,3552.5190099998877
20871,3718.61642,3738.01723,3741.2958299997017,3552.6883999998877
20872,3718.79208,3738.19506,3741.4746799997015,3552.8600099998876
20873,3718.97324,3738.37391,3741.651399999701,3553.0314499998876
20874,3719.15324,3738.55276,3741.828119999701,3553.2008399998876
20875,3719.33222,3738.73165,3742.0070099997015,3553.3723599998875
20876,3719.5112,3738.91063,3742.183769999701,3553.5439299998875
20877,3719.69231,3739.08957,3742.360619999701,3553.7144299998877
20878,3719.87333,3739.26527,3742.538539999701,3553.8847999998875
20879,3720.05009,3739.4399,3742.717429999701,3554.0562399998876
20880,3720.22685,3739.62092,3742.897389999701,3554.2277199998875
20881,3720.40681,3739.80088,3743.0762799997015,3554.3969899998874
20882,3720.58686,3739.97764,3743.257299999701,3554.5651899998875
20883,3720.76469,3740.15866,3743.438319999701,3554.7356099998874
20884,3720.94252,3740.33755,3743.620409999701,3554.905979999887
20885,3721.12141,3740.51644,3743.799349999701,3555.076439999887
20886,3721.3035,3740.70177,3743.979309999701,3555.244769999887
20887,3721.48568,3740.88075,3744.159359999701,3555.413059999887
20888,3721.66244,3741.05862,3744.339409999701,3555.579179999887
20889,3721.83929,3741.23756,3744.5192799997008,3555.750619999887
20890,3722.0161,3741.41756,3744.700259999701,3555.922139999887
20891,3722.19188,3741.59654,3744.8791099997006,3556.093619999887
20892,3722.36869,3741.77872,3745.058049999701,3556.2639899998867
20893,3722.54976,3741.96085,3745.2348599997,3556.4322799998868
20894,3722.72759,3742.13761,3745.4117099997,3556.599539999887
20895,3722.90861,3742.31877,3745.5937999997,3556.772129999887
20896,3723.08972,3742.49553,3745.7727799997,3556.944719999887
20897,3723.26861,3742.67327,3745.9527399997,3557.114109999887
20898,3723.44763,3742.85119,3746.1295899997,3557.284479999887
20899,3723.62657,3743.03221,3746.3117199997,3557.457029999887
20900,3723.80662,3743.20684,3746.4885299997,3557.6295799998866
20901,3723.98556,3743.38573,3746.6652899997,3557.7989699998866
20902,3724.16445,3743.56475,3746.8441799997,3557.9683999998865
20903,3724.34015,3743.74369,3747.0240899997,3558.1388599998863
20904,3724.51691,3743.92471,3747.2030699997,3558.310379999886
20905,3724.69367,3744.10471,3747.3820499997,3558.4818199998863
20906,3724.87256,3744.28582,3747.5620099997,3558.652279999886
20907,3725.05043,3744.46267,3747.7366399997,3558.820609999886
20908,3725.22932,3744.64582,3747.9166399997,3558.988899999886
20909,3725.40728,3744.82578,3748.0955799997,3559.160419999886
20910,3725.584,3745.00467,3748.2745199996994,3559.330959999886
20911,3725.76081,3745.18356,3748.456609999699,3559.501289999886
20912,3725.9397,3745.36356,3748.6355899996993,3559.674859999886
20913,3726.11646,3745.5425,3748.8144799996994,3559.8452299998858
20914,3726.29322,3745.71935,3748.993419999699,3560.0156899998856
20915,3726.47429,3745.89722,3749.173419999699,3560.1839299998855
20916,3726.65314,3746.07611,3749.354439999699,3560.3553699998856
20917,3726.82884,3746.25607,3749.533329999699,3560.525869999886
20918,3727.0088,3746.43492,3749.712269999699,3560.697439999886
20919,3727.18778,3746.61164,3749.8912099996983,3560.8667099998856
20920,3727.36672,3746.78845,3750.0712099996986,3561.0402799998856
