Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),Unnamed: 8
0.738,5.1,0.00606,2.34168,0.07825,0.03093,1e-05,0.0,
0.739,5.09625,0.00585,0.82485,1.24134,0.02984,1e-05,0.0,
0.74,5.09625,0.0046,3.11111,0.05379,0.02344,1e-05,0.0,
0.741,5.0975,0.0046,1.51928,2.28789,0.02345,1e-05,0.0,
0.742,5.1,0.00585,1.51928,2.28789,0.02986,1e-05,0.0,
0.743,5.09875,0.00502,3.1029,0.01956,0.02559,1e-05,0.0,
0.744,5.1025,0.00544,2.86409,2.50547,0.02774,1e-05,0.0,
0.745,5.1,0.00565,2.86165,2.60246,0.02879,1e-05,0.0,
0.746,5.10125,0.00502,3.13143,0.01304,0.0256,1e-05,0.0,
0.747,5.09875,0.00627,1.32527,1.11173,0.03198,1e-05,0.0,
0.748,5.1,0.00544,1.82327,2.25117,0.02773,1e-05,0.0,
0.749,5.1,0.00523,0.71806,2.37425,0.02666,1e-05,0.0,
0.75,5.1,0.00523,2.51525,1.77844,0.02666,1e-05,0.0,
0.751,5.1,0.00544,1.38885,1.34076,0.02773,1e-05,0.0,
0.752,5.0975,0.00544,3.10453,0.01793,0.02771,1e-05,0.0,
0.753,5.09875,0.00523,3.10453,0.01793,0.02665,1e-05,0.0,
0.754,5.09875,0.00502,1.45971,0.01549,0.02559,1e-05,0.0,
0.755,5.1,0.00544,2.46056,1.61864,0.02773,1e-05,0.0,
0.756,5.1,0.00565,2.49642,2.73685,0.02879,1e-05,0.0,
0.757,5.09875,0.00544,2.44263,2.74663,0.02772,1e-05,0.0,
0.758,5.09875,0.00502,1.09784,1.24699,0.02559,1e-05,0.0,
0.759,5.09875,0.00502,0.97151,1.4972,0.02559,1e-05,0.0,
0.76,5.09875,0.00523,1.5461,0.01793,0.02665,1e-05,0.0,
0.761,5.0975,0.00523,0.90957,1.40266,0.02665,1e-05,0.0,
0.762,5.10125,0.00565,1.6708,0.00489,0.0288,1e-05,0.0,
0.763,5.0975,0.00523,3.11991,0.18257,0.02665,1e-05,0.0,
0.764,5.10125,0.00523,3.11991,0.18257,0.02667,1e-05,0.0,
0.765,5.09875,0.00544,3.06104,0.01467,0.02772,1e-05,0.0,
0.766,5.09875,0.00502,2.49952,0.01467,0.02559,1e-05,0.0,
0.767,5.09875,0.00565,3.12379,0.3211,0.02879,1e-05,0.0,
0.768,5.09875,0.00565,3.21018,0.1907,0.02879,1e-05,0.0,
